CanonicalRow,OriginalRow,Variable,Question,Domain,DomainRow,SortFactor,SortLoading
1,18,q18,Avoid contact with others,EXT,1,A1_1,0.983363138089308
2,49,q49,Keep others at a distance,EXT,2,A1_1,0.916866078317415
3,79,q79,Retreat from others,EXT,3,A1_1,0.868559863306858
4,99,q99,Am hard to get to know,EXT,4,A1_1,0.761415877495298
5,29,q29,Don't talk a lot,EXT,5,A1_1,0.720612775461374
6,14,q14,Keep in the background,EXT,6,A1_1,0.666644282179586
7,39,q39,Have little to say,EXT,7,A1_1,0.655362423070283
8,59,q59,Don't like to draw attention to myself,EXT,8,A1_1,0.519407570492704
9,69,q69,Find it difficult to approach others,EXT,9,A1_1,0.498577828097385
10,89,q89,Would describe my experiences as somewhat dull,EXT,10,A1_1,0.273546990008355
11,3,q3,Do not mind being the center of attention,EXT,11,A1_1,0
12,23,q23,Cheer people up,EXT,12,A1_1,0
13,53,q53,Know how to captivate people,EXT,13,A1_1,0
14,63,q63,Am the life of the party,EXT,14,A1_1,0
15,73,q73,Am skilled in handling social situations,EXT,15,A1_1,0
16,93,q93,Start conversations,EXT,16,A1_1,-0.262785379743059
17,10,q10,Make friends easily,EXT,17,A1_1,-0.271837637747598
18,33,q33,Warm up quickly to others,EXT,18,A1_1,-0.32306287006496
19,43,q43,Talk to a lot of different people at parties,EXT,19,A1_1,-0.382434340015862
20,83,q83,Feel comfortable around people,EXT,20,A1_1,-0.484658261888004
21,11,q11,Feel comfortable with myself,EST,1,A1_3,1.07347983874623
22,97,q97,Am very pleased with myself,EST,2,A1_3,0.79382751054417
23,37,q37,Seldom feel blue,EST,3,A1_3,0.646021749041873
24,27,q27,Am relaxed most of the time,EST,4,A1_3,0.619570600843719
25,19,q19,Am not easily bothered by things,EST,5,A1_3,0.444619809171863
26,47,q47,Am not easily frustrated,EST,6,A1_3,0
27,50,q50,Panic easily,EST,7,A1_3,0
28,57,q57,Rarely lose my composure,EST,8,A1_3,0
29,67,q67,Rarely get irritated,EST,9,A1_3,0
30,77,q77,Seldom get mad,EST,10,A1_3,0
31,87,q87,Remain calm under pressure,EST,11,A1_3,0
32,100,q100,Feel threatened easily,EST,12,A1_3,0
33,60,q60,Worry about things,EST,13,A1_3,-0.217619549162935
34,17,q17,Get stressed out easily,EST,14,A1_3,-0.244092995179948
35,90,q90,Am filled with doubts about things,EST,15,A1_3,-0.349464605681177
36,70,q70,Have frequent mood swings,EST,16,A1_3,-0.35087486614661
37,40,q40,Fear for the worst,EST,17,A1_3,-0.366886388079196
38,12,q12,Often feel blue,EST,18,A1_3,-0.799011979913307
39,80,q80,Am often down in the dumps,EST,19,A1_3,-0.802538876811127
40,30,q30,Dislike myself,EST,20,A1_3,-0.979143301207914
41,9,q9,Cut others to pieces,AGR,1,A1_5,1.59736106393201
42,92,q92,Insult people,AGR,2,A1_5,1.23298213294426
43,42,q42,Believe that I am better than others,AGR,3,A1_5,1.05985954746454
44,32,q32,Get back at others,AGR,4,A1_5,1.03643054516597
45,62,q62,Make demands on others,AGR,5,A1_5,0.929147216685629
46,72,q72,Am out for my own personal gain,AGR,6,A1_5,0.884268880852386
47,52,q52,Contradict others,AGR,7,A1_5,0.787912698323914
48,82,q82,Have a sharp tongue,AGR,8,A1_5,0.702995993091427
49,2,q2,Hold a grudge,AGR,9,A1_5,0.68335504993081
50,22,q22,Suspect hidden motives in others,AGR,10,A1_5,0.217246832336211
51,56,q56,Trust what people say,AGR,11,A1_5,-0.246541178119956
52,6,q6,Believe that others have good intentions,AGR,12,A1_5,-0.419528319544845
53,86,q86,Have a good word for everyone,AGR,13,A1_5,-0.678910595952754
54,13,q13,Am easy to satisfy,AGR,14,A1_5,-0.690559149833783
55,36,q36,Make people feel at ease,AGR,15,A1_5,-0.696959642061309
56,46,q46,Accept people as they are,AGR,16,A1_5,-0.741486692958073
57,96,q96,Treat all people equally,AGR,17,A1_5,-0.83617918781746
