CanonicalRow,SourceRow,OriginalRow,Variable,Item,Question,Domain
1,48,49,BIGFIVE_49,EXT10,Keep others at a distance,EXT
2,18,18,BIGFIVE_18,EXT4,Avoid contact with others,EXT
3,97,99,BIGFIVE_99,EXT20,Am hard to get to know,EXT
4,77,79,BIGFIVE_79,EXT16,Retreat from others,EXT
5,29,29,BIGFIVE_29,EXT6,Don't talk a lot,EXT
6,39,39,BIGFIVE_39,EXT8,Have little to say,EXT
7,67,69,BIGFIVE_69,EXT14,Find it difficult to approach others,EXT
8,14,14,BIGFIVE_14,EXT3,Keep in the background,EXT
9,57,59,BIGFIVE_59,EXT12,Don't like to draw attention to myself,EXT
10,87,89,BIGFIVE_89,EXT18,Would describe my experiences as somewhat dull,EXT
11,3,3,BIGFIVE_3,EXT1,Do not mind being the center of attention,EXT
12,23,23,BIGFIVE_23,EXT5,Cheer people up,EXT
13,51,53,BIGFIVE_53,EXT11,Know how to captivate people,EXT
14,61,63,BIGFIVE_63,EXT13,Am the life of the party,EXT
15,71,73,BIGFIVE_73,EXT15,Am skilled in handling social situations,EXT
16,10,10,BIGFIVE_10,EXT2,Make friends easily,EXT
17,91,93,BIGFIVE_93,EXT19,Start conversations,EXT
18,33,33,BIGFIVE_33,EXT7,Warm up quickly to others,EXT
19,81,83,BIGFIVE_83,EXT17,Feel comfortable around people,EXT
20,43,43,BIGFIVE_43,EXT9,Talk to a lot of different people at parties,EXT
21,58,60,BIGFIVE_60,EST12,Worry about things,EST
22,49,50,BIGFIVE_50,EST10,Panic easily,EST
23,17,17,BIGFIVE_17,EST3,Get stressed out easily,EST
24,88,90,BIGFIVE_90,EST18,Am filled with doubts about things,EST
25,40,40,BIGFIVE_40,EST8,Fear for the worst,EST
26,68,70,BIGFIVE_70,EST14,Have frequent mood swings,EST
27,78,80,BIGFIVE_80,EST16,Am often down in the dumps,EST
28,98,100,BIGFIVE_100,EST20,Feel threatened easily,EST
29,12,12,BIGFIVE_12,EST2,Often feel blue,EST
30,30,30,BIGFIVE_30,EST6,Dislike myself,EST
31,95,97,BIGFIVE_97,EST19,Am very pleased with myself,EST
32,11,11,BIGFIVE_11,EST1,Feel comfortable with myself,EST
33,27,27,BIGFIVE_27,EST5,Am relaxed most of the time,EST
34,55,57,BIGFIVE_57,EST11,Rarely lose my composure,EST
35,37,37,BIGFIVE_37,EST7,Seldom feel blue,EST
36,75,77,BIGFIVE_77,EST15,Seldom get mad,EST
37,85,87,BIGFIVE_87,EST17,Remain calm under pressure,EST
38,65,67,BIGFIVE_67,EST13,Rarely get irritated,EST
39,19,19,BIGFIVE_19,EST4,Am not easily bothered by things,EST
40,46,47,BIGFIVE_47,EST9,Am not easily frustrated,EST
41,64,66,BIGFIVE_66,AGR14,Respect others,AGR
42,74,76,BIGFIVE_76,AGR16,Sympathize with others' feelings,AGR
43,94,96,BIGFIVE_96,AGR20,Treat all people equally,AGR
44,26,26,BIGFIVE_26,AGR6,Am concerned about others,AGR
45,36,36,BIGFIVE_36,AGR8,Make people feel at ease,AGR
46,45,46,BIGFIVE_46,AGR10,Accept people as they are,AGR
