"caseid","age","birthyr","gender","race"
391850646,50,1968,2,1
391850743,43,1975,2,1
391753157,70,1948,2,1
391850770,40,1978,2,1
391716661,32,1986,2,1
391741474,33,1985,2,1
391802417,52,1966,2,1
391850672,61,1957,2,1
391548587,54,1964,1,1
391716628,70,1948,2,2
391690165,47,1971,2,3
391850827,34,1984,2,1
391850862,60,1958,2,1
391850641,64,1954,2,1
391850879,54,1964,2,1
391690137,63,1955,1,7
391850766,54,1964,2,1
391813447,39,1979,2,1
391850911,27,1991,2,1
391850619,65,1953,2,1
391693680,50,1968,2,2
391850886,60,1958,2,1
391393509,74,1944,1,1
391716453,82,1936,2,1
391716561,36,1982,2,4
391850871,58,1960,2,7
391850850,60,1958,2,1
391850816,60,1958,2,1
391850882,45,1973,2,1
391825096,53,1965,2,1
391039371,28,1990,2,3
391693759,71,1947,2,1
391852847,26,1992,2,1
391850838,45,1973,2,3
391850995,56,1962,2,1
391606072,73,1945,2,1
391853691,64,1954,2,1
391850943,43,1975,2,1
391693674,57,1961,1,3
391850808,61,1957,2,1
391403723,69,1949,2,1
391532642,74,1944,1,1
391741405,76,1942,1,1
391850931,43,1975,2,7
391813959,67,1951,1,4
391779545,52,1966,1,1
391850986,63,1955,2,1
391741696,34,1984,2,3
391850727,57,1961,1,1
391850966,58,1960,2,6
391753240,54,1964,1,2
391372487,59,1959,1,1
391850784,57,1961,2,1
391433641,86,1932,2,1
391707472,67,1951,1,1
391645515,25,1993,2,3
392108876,45,1973,1,1
392108874,25,1993,2,1
392108851,60,1958,2,1
392108815,34,1984,2,1
392045571,38,1980,2,4
392094921,66,1952,2,1
392103371,56,1962,1,4
392039898,76,1942,1,1
391519719,82,1936,2,1
392050514,71,1947,1,1
392095474,72,1946,1,1
392045290,67,1951,2,3
392103310,75,1943,2,1
392095351,33,1985,2,6
392094664,87,1931,1,1
392037236,70,1948,2,1
392111814,58,1960,2,1
392102729,70,1948,1,1
392111466,39,1979,2,1
392111530,58,1960,2,1
392111769,54,1964,2,1
392002354,79,1939,2,1
392107109,36,1982,2,1
392112027,79,1939,1,1
392111998,51,1967,2,1
392112015,73,1945,2,1
392099519,42,1976,2,1
392115346,63,1955,1,4
392112002,80,1938,1,1
392115349,45,1973,1,4
392115539,54,1964,2,1
392083771,58,1960,1,2
392115701,20,1998,2,3
392115582,54,1964,1,1
392115452,23,1995,1,3
392115647,67,1951,1,1
392106835,41,1977,2,1
392115689,65,1953,2,1
392115578,62,1956,2,1
392115812,64,1954,1,1
392112758,60,1958,1,1
392090819,81,1937,2,1
392115494,58,1960,2,3
391382746,72,1946,1,3
392116086,57,1961,2,1
391990245,50,1968,1,1
392103288,56,1962,2,2
392075993,60,1958,1,1
392114503,69,1949,1,2
392110507,44,1974,2,1
392066230,45,1973,2,1
392113581,69,1949,2,1
392119355,54,1964,2,1
392116101,53,1965,2,1
392110528,49,1969,2,6
392116923,70,1948,2,1
392119376,49,1969,1,1
392112452,53,1965,1,7
392116112,82,1936,1,1
392119566,58,1960,1,1
392113094,78,1940,1,1
392106923,41,1977,1,1
391566065,56,1962,2,2
391576393,48,1970,1,6
392114456,60,1958,1,1
392083196,56,1962,1,1
392119497,58,1960,2,1
392103070,50,1968,1,1
392060547,58,1960,2,1
392119613,58,1960,2,1
392115553,62,1956,2,2
392091487,65,1953,2,3
391256800,80,1938,2,1
392119663,64,1954,2,1
392116383,57,1961,2,1
392116607,51,1967,1,1
392116719,66,1952,2,1
392113063,77,1941,2,1
392116553,75,1943,1,1
392119783,39,1979,2,2
392081398,65,1953,1,1
392119803,32,1986,2,6
392090975,53,1965,1,1
392095543,71,1947,1,1
392040080,57,1961,1,1
392116679,79,1939,2,1
392113176,77,1941,1,1
392117393,71,1947,1,1
392117600,73,1945,2,4
392095485,56,1962,2,1
392047913,49,1969,1,1
392098771,56,1962,1,1
392107120,92,1926,2,3
392095060,65,1953,2,1
392116939,77,1941,2,1
392048167,71,1947,1,1
392098721,69,1949,1,1
392105653,58,1960,1,1
391565726,73,1945,2,1
392091148,78,1940,1,1
392113291,70,1948,2,1
391990829,66,1952,2,1
392112898,75,1943,1,1
392114383,60,1958,2,1
392119153,28,1990,2,4
392113513,57,1961,2,5
392120101,70,1948,2,1
392088504,60,1958,1,1
392110501,39,1979,1,4
392081353,53,1965,1,1
392120146,62,1956,2,1
391572183,63,1955,1,1
391991981,66,1952,1,1
392117616,71,1947,1,1
392105647,55,1963,1,1
392113768,77,1941,2,1
392091458,74,1944,2,1
392034667,75,1943,1,4
392029190,85,1933,2,2
392085074,60,1958,1,1
392106799,68,1950,2,3
392120148,72,1946,1,1
392029295,46,1972,1,1
392124622,35,1983,2,1
392116448,31,1987,1,1
392121519,45,1973,1,3
392113296,54,1964,1,6
392124691,42,1976,2,1
392124674,33,1985,2,1
392116556,67,1951,2,1
392117252,67,1951,1,1
392047788,36,1982,2,4
392053824,26,1992,2,2
392091366,59,1959,1,1
392116425,51,1967,1,7
391588947,79,1939,1,1
392114642,58,1960,1,3
