EXT,EST,AGR,CSN,OPN
1.35,3.25,3.4,3.5,4.45
4.3,3.25,3.6,4.8,3.75
3,2.7,3,2.9,2.6
3,2.8,3.9,4.3,2.85
1.4,3.2,3.7,2.7,3.95
2.95,3.15,2.95,3.15,3.2
3.25,1.9,3.2,3.25,3
4.45,4.1,4.1,4.65,3.7
2.9,4,3.3,3.75,4.9
4,2.9,4.2,4.65,4.3
1.35,2,3.55,4.6,2.1
2.2,3.75,3.15,3.7,3.55
2.7,3.95,4.15,4.2,4.65
3.3,3.4,3.75,3.3,3.5
2.35,2.05,4.6,4.05,3.25
3.2,3.15,2.75,3.6,3.55
3.05,2.7,3.2,3.2,2.95
4.1,3.45,3.6,3.75,4.75
2.85,3.9,4.75,4.65,3.85
3.8,3.85,4.7,4.15,4.45
2.7,4,4.2,4.4,3.7
3.7,3.05,3.75,3.5,4
2.95,3.2,3.7,4.4,4.1
3.35,3.2,4.2,4.15,3.45
3.25,3.3,3.2,3.25,3.2
3.1,3.2,3.1,4,2.45
3.2,1.75,3.7,4.3,4.8
3.8,4.15,3.8,3.95,3.85
1.3,2.7,3.85,3.65,2.9
3.05,3.5,3.95,4.05,3.5
2.65,3.1,3.35,3.95,3.25
4.35,4.9,4.5,4.9,4.25
3.1,3.15,3.7,2.7,3.85
3.5,3.65,4.3,3.9,3.6
2.25,2.7,3.4,3.85,4.45
3.05,3.9,3.85,4.2,3.8
2.4,1.5,3.9,4.4,1.2
4.9,4.65,4,4.75,4.1
3.9,3.05,2.65,4.35,3.85
3.5,1.65,2.9,3.8,3.65
3.6,3.25,4,3.85,4.6
3.2,3.4,3.3,4,4.15
2.6,3.9,3.1,3.9,2.3
2.75,3.1,3.3,3.5,3.1
4.6,4.05,3.95,4.3,4.15
3.65,4.45,4.45,4.4,3.88888888888889
3.45,3.4,3.75,3.5,4.25
2.55,2.95,3.45,3.15,3.1
3.2,3.2,3.15,3,2.89473684210526
1.1,2,3.4,4.65,4.2
2.75,4.25,4,3.85,4.55
2.85,4.3,4.15,5,3.45
4.65,3.65,3.45,4.5,3.75
3.05,3,3.94736842105263,4,3
3.65,3.25,4.5,4.2,4.35
3.95,2.95,3.35,3,4.6
