BIGFIVE_1,BIGFIVE_2,BIGFIVE_3,BIGFIVE_4,BIGFIVE_5,BIGFIVE_6,BIGFIVE_7,BIGFIVE_8,BIGFIVE_9,BIGFIVE_10,BIGFIVE_11,BIGFIVE_12,BIGFIVE_13,BIGFIVE_14,BIGFIVE_15,BIGFIVE_16,BIGFIVE_17,BIGFIVE_18,BIGFIVE_19,BIGFIVE_20,BIGFIVE_21,BIGFIVE_22,BIGFIVE_23,BIGFIVE_24,BIGFIVE_25,BIGFIVE_26,BIGFIVE_27,BIGFIVE_28,BIGFIVE_29,BIGFIVE_30,BIGFIVE_31,BIGFIVE_32,BIGFIVE_33,BIGFIVE_34,BIGFIVE_35,BIGFIVE_36,BIGFIVE_37,BIGFIVE_38,BIGFIVE_39,BIGFIVE_40,BIGFIVE_41,BIGFIVE_42,BIGFIVE_43,BIGFIVE_45,BIGFIVE_46,BIGFIVE_47,BIGFIVE_48,BIGFIVE_49,BIGFIVE_50,BIGFIVE_52,BIGFIVE_53,BIGFIVE_54,BIGFIVE_55,BIGFIVE_56,BIGFIVE_57,BIGFIVE_58,BIGFIVE_59,BIGFIVE_60,BIGFIVE_61,BIGFIVE_62,BIGFIVE_63,BIGFIVE_64,BIGFIVE_65,BIGFIVE_66,BIGFIVE_67,BIGFIVE_68,BIGFIVE_69,BIGFIVE_70,BIGFIVE_71,BIGFIVE_72,BIGFIVE_73,BIGFIVE_74,BIGFIVE_75,BIGFIVE_76,BIGFIVE_77,BIGFIVE_78,BIGFIVE_79,BIGFIVE_80,BIGFIVE_81,BIGFIVE_82,BIGFIVE_83,BIGFIVE_84,BIGFIVE_85,BIGFIVE_86,BIGFIVE_87,BIGFIVE_88,BIGFIVE_89,BIGFIVE_90,BIGFIVE_91,BIGFIVE_92,BIGFIVE_93,BIGFIVE_94,BIGFIVE_95,BIGFIVE_96,BIGFIVE_97,BIGFIVE_98,BIGFIVE_99,BIGFIVE_100
5,4,1,2,4,2,2,2,1,1,2,3,4,3,3,4,2,5,4,2,5,4,1,1,4,4,4,3,5,4,5,3,1,1,4,3,2,2,5,2,3,1,1,3,4,4,4,4,2,3,1,2,3,1,4,3,5,3,4,2,1,2,4,4,3,2,5,3,5,1,1,2,2,4,3,3,4,2,4,4,1,1,4,3,4,2,2,3,5,2,1,1,4,4,1,2,5,2
5,2,3,3,5,3,4,3,3,5,4,2,2,2,5,3,4,1,2,1,5,3,4,1,5,4,2,1,2,2,4,2,4,3,5,5,4,1,1,2,2,5,5,5,4,2,1,3,2,2,5,4,4,4,3,1,2,4,4,1,3,1,5,5,2,1,2,3,5,2,5,2,4,4,3,1,1,2,4,4,5,1,5,3,4,1,2,2,4,2,5,2,5,4,4,1,2,2
3,3,3,5,3,3,4,3,3,3,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3
3,2,3,4,3,3,3,1,1,4,4,3,3,4,4,2,5,2,2,1,2,2,3,3,4,4,3,1,4,3,4,1,3,2,3,3,4,3,3,3,2,1,3,4,4,2,1,3,2,2,3,4,3,3,4,1,5,5,4,1,3,1,5,4,2,1,4,3,1,3,4,2,5,3,3,3,3,3,3,3,4,2,5,4,3,1,3,4,3,1,3,3,5,4,3,2,2,3
1,3,1,5,3,4,2,5,1,3,5,2,5,5,3,3,4,5,2,2,3,3,4,1,3,5,5,5,5,1,5,2,2,1,3,3,4,3,5,4,3,3,1,3,4,2,3,5,4,3,2,1,3,5,3,3,5,4,5,4,1,1,3,5,2,3,5,1,5,3,1,3,1,3,4,3,5,1,5,4,2,2,4,4,3,5,5,5,4,1,1,3,3,3,4,3,5,4
4,5,4,3,5,5,3,4,4,3,4,3,4,5,4,3,5,3,4,5,4,3,4,3,5,4,5,2,4,4,3,3,5,3,4,2,4,5,4,2,5,5,3,4,5,4,3,4,4,4,3,4,3,3,5,5,4,3,5,4,5,5,4,3,3,4,3,4,5,4,3,3,4,4,3,3,4,5,4,3,4,5,5,4,5,4,3,4,4,4,4,4,4,4,4,4,5,4
4,5,1,1,4,4,4,3,1,3,2,3,3,2,4,4,5,2,4,2,4,4,4,4,3,4,2,4,2,4,5,2,3,4,3,4,1,2,1,4,3,1,2,3,2,1,2,2,4,3,3,3,3,1,2,2,5,5,4,4,1,4,4,4,1,2,2,5,4,1,4,3,4,5,1,4,3,3,4,4,2,5,2,2,2,3,2,4,3,2,4,4,3,2,2,4,1,3
5,3,4,3,5,4,2,1,2,5,5,1,5,2,4,4,1,1,3,1,3,4,5,2,3,5,4,1,1,1,5,3,4,3,5,5,5,1,1,3,4,2,4,5,5,5,1,1,2,3,4,3,4,3,4,2,2,4,5,2,3,2,5,5,4,1,1,1,4,1,5,4,4,5,2,1,1,1,5,3,5,3,4,4,4,1,1,3,3,1,4,2,5,5,4,1,3,1
5,3,4,2,4,4,1,3,1,3,4,3,2,4,4,4,2,3,3,2,5,2,3,1,4,3,4,4,4,1,5,1,2,1,4,4,3,2,2,1,5,4,2,4,3,4,2,4,1,2,4,1,4,4,4,2,3,3,5,4,2,1,4,4,3,1,4,1,5,4,4,1,4,3,4,2,3,3,5,4,4,1,4,3,4,4,2,1,5,1,3,1,4,2,4,3,4,1
5,4,4,2,4,4,2,2,1,3,4,4,4,2,4,2,4,2,3,1,5,3,4,4,4,5,3,2,1,1,5,2,4,1,5,5,1,1,1,2,4,1,5,4,4,2,2,4,3,2,4,2,5,4,3,1,3,4,5,3,4,1,5,5,3,1,2,5,4,2,4,1,5,5,2,1,2,4,5,2,4,2,5,5,4,1,2,2,5,1,4,1,5,4,4,1,1,2
