"CaseID","Survey","Age","Sex","HispanicLatino","Race","Race_1","Race_2","Race_3","Race_4","Race_5","Race_6"
"Survey1Emerging000001","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000002","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000003","S1",25,-1,0,"Multiple races",1,0,0,1,1,0
"Survey1Emerging000004","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000005","S1",18,1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000006","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000007","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000008","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000009","S1",20,1,0,"Multiple races",1,0,0,1,0,0
"Survey1Emerging000010","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000011","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000012","S1",23,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000013","S1",21,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000014","S1",24,-1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000015","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000016","S1",19,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000017","S1",20,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000018","S1",21,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000019","S1",25,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000020","S1",21,-1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000021","S1",21,1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000022","S1",21,-1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000023","S1",20,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000024","S1",23,1,0,"Choose one or more races that you consider yourself to be. - Asian or Asian American",0,0,0,1,0,0
"Survey1Emerging000025","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000026","S1",21,1,1,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000027","S1",19,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000028","S1",18,1,1,"Multiple races",1,1,1,1,0,0
"Survey1Emerging000029","S1",22,1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
"Survey1Emerging000030","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000031","S1",25,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000032","S1",24,1,0,"Choose one or more races that you consider yourself to be. - White or Caucasian",1,0,0,0,0,0
"Survey1Emerging000033","S1",24,-1,0,"Choose one or more races that you consider yourself to be. - Black or African American",0,1,0,0,0,0
