"EXT","NEM","AGR","CSN","OPN"
3,2.5,2.91666666666667,2.83333333333333,2.75
1.5,2.83333333333333,3,4.66666666666667,3.66666666666667
3.41666666666667,1.25,3.83333333333333,4.91666666666667,4.33333333333333
2.83333333333333,3.25,3,3.33333333333333,3.41666666666667
2.83333333333333,2.83333333333333,3.08333333333333,3.08333333333333,3
3.16666666666667,2.91666666666667,2.41666666666667,5,4.58333333333333
2.75,2.58333333333333,3.08333333333333,3,3.08333333333333
2.66666666666667,4.16666666666667,3.75,4.08333333333333,3.58333333333333
2.58333333333333,2.5,2.5,4.83333333333333,2.5
3.5,2,2.75,2.66666666666667,3.08333333333333
3.5,2.08333333333333,3.75,4.25,4.41666666666667
3.33333333333333,3.33333333333333,3.75,4.75,3.66666666666667
2.16666666666667,4.25,3.16666666666667,2.5,3.91666666666667
3,2.66666666666667,3.16666666666667,3.83333333333333,3
4.16666666666667,3.41666666666667,3.5,2.83333333333333,4
2.66666666666667,3.16666666666667,4.33333333333333,3.33333333333333,3.16666666666667
2.91666666666667,3.25,3,2.83333333333333,3.08333333333333
3.5,1.58333333333333,4.41666666666667,4.75,3.41666666666667
1.5,3.5,4.5,4.5,3.66666666666667
2.33333333333333,3.08333333333333,3.25,3.41666666666667,3.08333333333333
3.16666666666667,3,2.83333333333333,3.08333333333333,3.25
3,3.33333333333333,2.16666666666667,2.75,3.5
3,4.08333333333333,4.5,4.58333333333333,4.91666666666667
2.33333333333333,2.75,3.75,3.5,3.25
2.83333333333333,2.66666666666667,4.16666666666667,4.08333333333333,3.66666666666667
3.5,2.5,3.33333333333333,3.25,3.75
3.66666666666667,3.66666666666667,3.91666666666667,4.25,4.66666666666667
3.33333333333333,3.41666666666667,3.16666666666667,2.33333333333333,3.08333333333333
2.08333333333333,2.75,4.08333333333333,4.75,3.5
2.41666666666667,4.41666666666667,2.25,2.66666666666667,3.83333333333333
2.75,2.58333333333333,3.58333333333333,4.41666666666667,3.5
3.5,1.83333333333333,4,4.66666666666667,4
3.16666666666667,2.16666666666667,3.58333333333333,2.75,4.08333333333333
2.58333333333333,1.91666666666667,3.66666666666667,3.33333333333333,4
3.75,4.08333333333333,4.58333333333333,4.58333333333333,4.58333333333333
2.5,4.41666666666667,2.25,2,4.66666666666667
2.08333333333333,5,2.41666666666667,2.08333333333333,2.75
2.75,2.75,3.08333333333333,2.91666666666667,2.83333333333333
2.91666666666667,2.91666666666667,3.08333333333333,3.16666666666667,3.25
1.58333333333333,4.16666666666667,3.41666666666667,2.33333333333333,3.83333333333333
3.25,3.08333333333333,3.08333333333333,2.75,3
2.58333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.5
3.75,3.16666666666667,3.41666666666667,4.08333333333333,4.08333333333333
2.08333333333333,4.16666666666667,2.83333333333333,2.83333333333333,4
2.91666666666667,3.33333333333333,3.08333333333333,4.08333333333333,3.16666666666667
3.41666666666667,3.16666666666667,3.33333333333333,4.41666666666667,4.33333333333333
3.25,2.5,3.08333333333333,4,3.16666666666667
3.41666666666667,2.75,3,3,3.33333333333333
3.16666666666667,2.58333333333333,3.75,3.5,3.08333333333333
2.83333333333333,2.91666666666667,3.58333333333333,3.66666666666667,3.83333333333333
3.5,3.58333333333333,3.25,3.5,4.58333333333333
3,3.58333333333333,4,3.75,4
3.41666666666667,3.08333333333333,3.16666666666667,3.91666666666667,3.08333333333333
1.91666666666667,4.41666666666667,3.5,2.83333333333333,4.41666666666667
2.5,4,3.66666666666667,3.41666666666667,4.08333333333333
3.83333333333333,3.16666666666667,3.33333333333333,3.75,3.66666666666667
3.25,3.66666666666667,3.75,3.58333333333333,3.33333333333333
3.66666666666667,4.33333333333333,4.08333333333333,3.16666666666667,4.83333333333333
2.83333333333333,3.58333333333333,3.91666666666667,4.25,2.91666666666667
1.83333333333333,4,3.83333333333333,3.08333333333333,4.16666666666667
3,2.91666666666667,2.66666666666667,3.08333333333333,3.16666666666667
3.25,3.16666666666667,4.5,4.16666666666667,4
2.66666666666667,3.58333333333333,4.25,4.16666666666667,3.5
2.58333333333333,2.83333333333333,2.91666666666667,3.66666666666667,2.91666666666667
3.16666666666667,4.66666666666667,3.66666666666667,3.33333333333333,3.83333333333333
1.58333333333333,1.83333333333333,4.25,3.91666666666667,3
3.33333333333333,2.91666666666667,3.75,3.41666666666667,3.66666666666667
2.08333333333333,3.16666666666667,4.08333333333333,3.83333333333333,3.66666666666667
2.5,4.16666666666667,3.16666666666667,2.41666666666667,3.41666666666667
3.75,4.25,4,4,4.58333333333333
4.16666666666667,1.25,4.5,5,4.91666666666667
2.83333333333333,2.91666666666667,3.16666666666667,2.58333333333333,2.91666666666667
2.41666666666667,3.08333333333333,4.08333333333333,3.33333333333333,3.16666666666667
4.16666666666667,2,4.66666666666667,3.75,4.41666666666667
4.5,1,4.75,5,4.58333333333333
3,4.08333333333333,3.75,4.41666666666667,3.83333333333333
3,2.91666666666667,3.08333333333333,3.33333333333333,3.25
3,3.83333333333333,3.83333333333333,3.75,4.5
