"Outcome","S1Variable","S2Variable","Availability","Code","Meaning"
"ActiveCoping","","S2_ActiveCoping","S2 only",,"S2 Coping: Active coping"
"AgeSample","S1_AgeSample","S2_AgeSample","S1 and S2",-1,"Young adult"
"AgeSample","S1_AgeSample","S2_AgeSample","S1 and S2",1,"Adult"
"AntisocialBehavior","S1_AntisocialBehavior","","S1 only",,"S1 Antisocial behavior"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",1,"Really false for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_1","S1_AntisocialBehavior1_1","","S1 only",4,"Really true for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",1,"Really false for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_2","S1_AntisocialBehavior1_2","","S1 only",4,"Really true for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",1,"Really false for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_3","S1_AntisocialBehavior1_3","","S1 only",4,"Really true for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",1,"Really false for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",2,"Sort of false for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",3,"Sort of true for me"
"AntisocialBehavior1_4","S1_AntisocialBehavior1_4","","S1 only",4,"Really true for me"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",1,"No trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",2,"Some minor problems"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",3,"Somewhat serious trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",4,"Serious trouble"
"AntisocialBehavior2","S1_AntisocialBehavior2","","S1 only",5,"Very serious trouble"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",1,"Well below average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",2,"Below average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",3,"Average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",4,"Above average"
"AntisocialBehavior3","S1_AntisocialBehavior3","","S1 only",5,"Well above average"
"Anxiety","","S2_Anxiety","S2 only",,"S2 Anxiety"
"ArtisticInterests","","S2_ArtisticInterests","S2 only",,"S2 Artistic interests"
"Attractiveness","S1_Attractiveness","","S1 only",1,"Extremely unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",2,"Very unattractive"
"Attractiveness","S1_Attractiveness","","S1 only",3,"Moderately unattractive"
