tau,t1,t2,temp,avg_pMSE,sd_pMSE,se_pMSE,min_pMSE,max_pMSE,num_act1,num_act2
0.1,0.04,0.06,0.8,0.0169829147151925,0.000191237658079767,2.70450889692875e-05,0.0165721936087797,0.0173281147497572,9,1
0.1,0.04,0.04,0.9,0.0173047105532523,0.000260715117364309,3.68706854892299e-05,0.0169048098352639,0.0180012495796222,8,1
0.1,0.04,0.02,0.9,0.0176614415837237,0.000253693321240321,3.58776535581536e-05,0.0172059458235396,0.0183096699342244,8,1
0.2,0.04,0.06,0.9,0.0177649819827133,0.000217537491583674,3.07644470922255e-05,0.0172749050413678,0.0182152186798617,14,1
0.1,0.04,0.04,0.8,0.0178223665989535,0.000209616875171911,2.96443027770384e-05,0.0171899393617148,0.0182090189883299,8,1
0.1,0.02,0.04,0.8,0.0178349178287291,0.000284654950689366,4.02562891861546e-05,0.0172644827469257,0.0184892505869841,12,1
0.2,0.02,0.02,0.9,0.0183398553031121,0.000277424159548691,3.92337008963716e-05,0.0177015587042277,0.0190118522689609,12,1
0.1,0.02,0.06,0.8,0.0184710039812879,0.000223173731959872,3.15615318503068e-05,0.0179479273328402,0.0189321005011299,12,1
0.1,0.02,0.06,0.7,0.0185411968245535,0.000226813644445114,3.2076293210555e-05,0.0181299466493778,0.0190207017602301,10,0
0.2,0.02,0.06,0.9,0.0188857272143817,0.00027899382442717,3.94556850323241e-05,0.018274025299223,0.0195068775769764,11,1
0.1,0.04,0.06,0.7,0.0189006841480492,0.000235939421948407,3.33668730417905e-05,0.0183538145958692,0.0193643141482963,7,0
0.1,0.04,0.02,0.8,0.0189137658010022,0.000192686255697135,2.72499516089778e-05,0.018565587512931,0.0192697359564594,8,3
0.1,0.02,0.02,0.8,0.0189800993177633,0.000207977459093779,2.94124543318318e-05,0.0184063636350886,0.019339348614687,13,1
0.1,0.04,0.02,0.7,0.0189969092303801,0.000267348549190316,3.78087944145716e-05,0.0183412770076324,0.0196117725022337,9,0
0.1,0.02,0.02,0.7,0.0190106672795976,0.000245994577080061,3.47888867176856e-05,0.0184452066417202,0.0195393020174621,10,0
0.1,0.04,0.04,0.7,0.0190282397364192,0.000223101142477862,3.15512661473124e-05,0.0184443016752241,0.0194901506485349,9,0
0.1,0.02,0.02,0.9,0.0191362777872821,0.000251900939637825,3.56241725210338e-05,0.0185813583764344,0.0196908835166014,11,1
0.1,0.02,0.04,0.7,0.0191649963836001,0.000305531721394366,4.3208710413111e-05,0.0184343364829314,0.0197986901942573,10,0
0.1,0.06,0.02,0.7,0.0192206961100575,0.000246009165835564,3.47909498792747e-05,0.0187086632242908,0.0197408643439829,8,0
0.2,0.02,0.04,0.7,0.0192703836122242,0.000289569539387442,4.09513169851851e-05,0.0187784746620586,0.0201167769756491,10,1
0.2,0.02,0.02,0.7,0.0193113829774256,0.00026537342448055,3.75294695993786e-05,0.0185804070650265,0.0198747599710856,10,1
0.1,0.06,0.04,0.7,0.0193114879101019,0.000261772882644844,3.70202760897839e-05,0.018820116658191,0.0199470488298368,7,0
0.1,0.02,0.06,0.9,0.0193173490010548,0.000277982782361982,3.93127020922524e-05,0.0188231090421125,0.0202559302063897,11,1
0.1,0.04,0.06,0.9,0.0195941032600717,0.00027948002597256,3.9524444314278e-05,0.0189256427719727,0.0201078988898459,9,1
0.2,0.02,0.04,0.8,0.0196981761137366,0.000312217039573674,4.41541571769067e-05,0.0189551724937598,0.0203384963527031,10,1
0.2,0.02,0.06,0.7,0.0197721190742001,0.000266503393500728,3.76892713507183e-05,0.0192423943192918,0.0203448789829911,10,1
0.1,0.02,0.04,0.9,0.0198318809929412,0.0002609814269109,3.69083473464878e-05,0.0193547760762677,0.0204097683014379,11,1
0.2,0.02,0.02,0.8,0.0198672502777623,0.00031326053185571,4.43017292706554e-05,0.0191642705627425,0.0205851690684714,10,1
0.1,0.06,0.06,0.7,0.0199788597748949,0.000260834392462085,3.68875535353227e-05,0.0194785354720173,0.0206696366727255,7,0
0.2,0.02,0.06,0.8,0.0201423571013992,0.000263504042281079,3.72650990334036e-05,0.0196316193305656,0.0209314749489614,10,1
0.2,0.04,0.02,0.9,0.0205383968318078,0.000215816203440756,3.05210201885788e-05,0.0201000764608953,0.021110490136993,10,1
0.2,0.02,0.04,0.9,0.0205502197345155,0.000283138885214923,4.00418851506143e-05,0.0200709935552997,0.0212604313280469,10,1
0.2,0.04,0.04,0.9,0.0206008299222735,0.000271677570931228,3.84210105403521e-05,0.0199947301605647,0.0212048118591242,10,1
0.2,0.04,0.02,0.7,0.0206406014065752,0.000300555961400192,4.25050316864236e-05,0.0199309471202226,0.0213061574718528,9,1
0.2,0.04,0.02,0.8,0.0207216152999657,0.000239029145660425,3.38038259595427e-05,0.0202209297857787,0.0211788999457084,9,1
0.2,0.04,0.06,0.8,0.0216018529337972,0.000266128779100514,3.7636292874174e-05,0.0210203897463807,0.0222660885000416,8,1
0.1,0.06,0.02,0.8,0.0216476734022822,0.000244093220067909,3.45199942303357e-05,0.0211601312659707,0.0221956671863716,7,0
0.2,0.04,0.06,0.7,0.022079628074649,0.000290128767248689,4.10304037477683e-05,0.0212623342486725,0.0226435261097774,8,0
0.1,0.06,0.06,0.8,0.0222136297666711,0.000262061624752133,3.70611103901995e-05,0.0217248973045791,0.0229418951303743,7,0
0.1,0.06,0.04,0.8,0.0224491226393295,0.000288774824924837,4.0838927388062e-05,0.0218169665594209,0.0233107602150833,6,0
0.2,0.04,0.04,0.7,0.0230982439231581,0.000238316646128054,3.37030633093563e-05,0.0227103992218121,0.0237109697145519,8,0
0.2,0.04,0.04,0.8,0.0239724934581817,0.000256569710165248,3.62844363809827e-05,0.0233640488337885,0.0246379434032086,8,0
0.2,0.06,0.06,0.7,0.0239834102006481,0.000287494053426191,4.06577989456935e-05,0.0233828595366008,0.024534457887097,7,0
0.1,0.06,0.04,0.9,0.0246120169755336,0.000234403389515346,3.31496452518825e-05,0.0241034188430536,0.0250373408452048,6,0
0.1,0.06,0.06,0.9,0.024780256578374,0.000243077903513617,3.43764067862176e-05,0.024251761216521,0.0252525122651262,6,0
0.1,0.06,0.02,0.9,0.0253012479552921,0.000345029858764922,4.87945905689026e-05,0.0246956160795014,0.0261310584941704,6,0
